,Agency Name,Department,Address,Phone Number,Number of Officers,Population Served,Agency Type
1342,AL,Springville Police Department,"Post Office Box 919  Springville, AL 35146",205-467-6133,14.0,"2,521",Local Police
1343,AL,St Clair County Sheriff's Office,"48 6Th St, Ste 300  Ashville, AL 35953",205-884-6840,40.0,"64,742",Sheriff
1344,AL,St Florian Police Department,"4508 County Road 47  Florence, AL 35634",256-766-6625,1.0,335,Local Police
1345,AL,Steele Police Department,"Post Office Box 425  Steele, AL 35987",256-538-8145,2.0,"1,093",Local Police
1346,AL,Stevenson Police Department,"104 Kentucky Avenue  Stevenson, AL 35772",256-437-3005,5.0,"1,770",Local Police
1347,AL,Sulligent Police Department,"Post Office Box 365  Sulligent, AL 35586",205-698-9111,6.0,"2,151",Local Police
1348,AL,Sumiton Police Department,"Post Office Box 10  Sumiton, AL 35148",205-648-3261,7.0,"2,665",Local Police
1350,AL,Sumter County Sheriff's Office,"118 Hospital DriveP.O. Box 782 Livingston, AL 35470",205-652-7984,6.0,"14,798",Sheriff
1351,AL,Sylacauga Police Department,"Post Office Box 2460  Sylacuaga, AL 35150",256-401-2443,41.0,"12,616",Local Police
1352,AL,Sylvania Police Department,"Post Office Box 150  Sylvania, AL 35988",256-638-2604,2.0,"1,186",Local Police
1353,AL,Talladega County Sheriff's Office,"P.O. Box 996148 E St No Talladega, AL 35161",256-761-2141,37.0,"80,321",Sheriff
1354,AL,Talladega Police Department,"P.O. Box 761  Talladega, AL 35160",256-362-4162,38.0,"15,143",Local Police
1355,AL,Tallapoosa County Sheriff's Office,"316 Industrial Park Dr  Dadeville, AL 36853",256-825-1034,23.0,"41,475",Sheriff
1356,AL,Tallassee Police Department,"3 Freeman Avenue  Tallassee, AL 36078",334-283-6586,15.0,"4,934",Local Police
1357,AL,Tarrant Police Department,"2593 Commerce Circle  Tarrant, AL 35217",205-849-2811,25.0,"7,022",Local Police
1358,AL,Taylor Police Department,"1469 So. County Road 59  Taylor, AL 36301",334-794-5633,1.0,"1,898",Local Police
1359,AL,Thomasville Police Department,"Post Office Box 127  Thomasville, AL 36784",334-636-2174,16.0,"4,649",Local Police
1360,AL,Thorsby Police Department,"Post Office Box 608  Thorsby, AL 35171",205-646-3555,6.0,"1,820",Local Police
1361,AL,Town Creek Police Department,"Post Office Box 190  Town Creek, AL 35672",256-685-3200,2.0,"1,216",Local Police
1363,AL,Triana Police Department,"640 6Th Street  Madison, AL 35756",256-772-0151,2.0,458,Local Police
1364,AL,Trinity Police Department,"35 Preston Drive  Trinity, AL 35673",256-355-1326,6.0,"1,841",Local Police
1365,AL,Troy Police Department,"Post Office Box 549  Troy, AL 36081",334-566-0500,49.0,"13,935",Local Police
1367,AL,Trussville Police Department,"Post Office Box 159  Trussville, AL 35173",205-655-2101,42.0,"12,924",Local Police
1368,AL,Tuscaloosa County Sheriff's Office,"714 1/2 Greensboro Ave  Tuscaloosa, AL 35401",205-752-0616,96.0,"164,875",Sheriff
1369,AL,Tuscaloosa Police Department,"3801 Mill Creek Avenue  Tuscaloosa, AL 35401",205-349-0480,263.0,"77,906",Local Police
1370,AL,Tuscumbia Police Department,"Post Office Box 967  Tuscumbia, AL 35674",256-383-3121,22.0,"7,856",Local Police
1371,AL,Tuskegee Police Department,"1106 Notasulga Highway  Tuskegee, AL 36083",334-727-0200,23.0,"11,846",Local Police
1372,AL,Union Springs Police Department,"Post Office Box 549  Union Springs, AL 36089",334-738-3131,11.0,"3,670",Local Police
1373,AL,Uniontown Police Department,"Post Office Box 1069  Uniontown, AL 36786",334-628-4021,7.0,"1,636",Local Police
1383,AL,Vance Police Department,"Post Office Box 193  Vance, AL 34590",205-553-8278,3.0,500,Local Police
1384,AL,Vernon Police Department,"Post Office Box 357  Vernon, AL 35592",205-695-7022,7.0,"2,143",Local Police
1385,AL,Vestavia Hills Police Department,"Post Office Box 660854  Vestavia Hills, AL 35266",205-978-0113,65.0,"24,476",Local Police
1386,AL,Vincent Police Department,"Post Office Box 49  Vincent, AL 35178",205-672-2261,3.0,"1,853",Local Police
1387,AL,Wadley Police Department,"Post Office Box 9  Wadley, AL 36276",256-395-2261,2.0,640,Local Police
1388,AL,Walker County Sheriff's Office,"2001 2Nd Ave S  Jasper, AL 35501",205-302-6464,31.0,"70,713",Sheriff
1391,AL,Warrior Police Department,"215 Main Street  Warrior, AL 35180",205-647-0521,13.0,"3,169",Local Police
1392,AL,Washington County Sheriff's Office,"P.O. Box 307Courthouse Court St Chatom, AL 36518",334-847-2202,5.0,"18,097",Sheriff
1393,AL,Weaver Police Department,"Post Office Box 1060  Weaver, AL 36277",256-820-0530,7.0,"2,619",Local Police
1394,AL,Webb Police Department,"Post Office Box 127  Webb, AL 36376",334-792-0386,2.0,"1,298",Local Police
1395,AL,Wedowee Police Department,"Post Office Box 270  Wedowee, AL 36278",256-357-2121,8.0,818,Local Police
1396,AL,West Blocton Police Department,"Post Office Box 187  West Blocton, AL 35184",205-938-7622,2.0,"1,372",Local Police
1397,AL,Wetumpka Police Department,"Post Office Box 190  Wetumpka, AL 36092",334-567-5321,27.0,"5,726",Local Police
1399,AL,Wilcox County Sheriff's Office,"P.O. Box 33712 Water St, Ste 102 Camden, AL 36726",334-682-4715,10.0,"13,183",Sheriff
1400,AL,Wilton Police Department,"Post Office Box 159  Wilton, AL 35187",205-665-2033,1.0,580,Local Police
1401,AL,Winfield Police Department,"Post Office Drawer 1438  Winfield, AL 35594",205-487-4333,10.0,"4,540",Local Police
1402,AL,Winston County Sheriff's Office,"P.O. Box 1011 Blake Dr Room #6 Double Springs, AL 35553",205-489-2115,11.0,"24,843",Sheriff
1404,AL,Woodville Police Department,"Post Office Box 94  Woodville, AL 35776",256-776-2860,0.0,761,Local Police
1405,AL,York Police Department,"1022 East 4Th Avenue  York, AL 36925",205-392-5261,4.0,"2,854",Local Police
1406,WA,Aberdeen Police Department,"210 East Market Street  Aberdeen, WA 98520",360-533-3180,36.0,"16,461",Local Police
1407,WA,Adams County Sheriff's Office,"210 W Broaway Ave  Ritzville, WA 99169",509-659-1122,17.0,"16,428",Sheriff
1408,WA,Airway Heights Police Department,"1208 South Lundstrom Street  Airway Heights, WA 99001",509-244-3707,13.0,"4,500",Local Police
1409,WA,Algona Police Department,"402 Warde Street  Algona, WA 98001",253-833-2743,7.0,"2,460",Local Police
1410,WA,Anacortes Police Department,"1218 24Th Street  Anacortes, WA 98221",360-293-4684,22.0,"17,500",Local Police
1411,WA,Arlington Police Department,"110 East Third Street  Arlington, WA 98223",360-435-2324,27.0,"11,713",Local Police
1412,WA,Asotin County Sheriff's Office,"P.O. Box 130127 2nd St Asotin, WA 99402",509-243-4717,12.0,"20,551",Sheriff
1414,WA,Auburn Police Department,"340 East Main Street, Suite 201  Auburn, WA 98002",253-931-3044,110.0,"74,860",Local Police
1415,WA,Bainbridge Island Police Department,"625 Winslow Way East  Bainbridge Island, WA 98110",206-842-5211,23.0,"20,308",Local Police
1416,WA,Battle Ground Police Department,"507 Sw First Street  Battle Ground, WA 98604",360-342-5100,25.0,"9,296",Local Police
1417,WA,Bellevue Police Department,"450 110Th Ave NePO BOX 90012 Bellevue, WA 98009",425-452-2821,182.0,"109,569",Local Police
1418,WA,Bellingham Police Department,"505 Grand Avenue  Bellingham, WA 98225",360-676-6916,111.0,"67,171",Local Police
1419,WA,Benton County Sheriff's Office,"7122 W. Okanogan Place  Kennewick, WA 99336",509-735-6555,58.0,"142,475",Sheriff
1421,WA,Black Diamond Police Department,"25510 Lawson StreetPO BOX 309 Black Diamond, WA 98010",253-631-1012,10.0,"3,970",Local Police
1423,WA,Bonney Lake Police Department,"18421 Old Buckle Highway  Bonney Lake, WA 98390",253-863-2218,30.0,"9,687",Local Police
1424,WA,Bothell Police Department,"18410 101St Avenue Ne  Bothell, WA 98011",425-487-5510,53.0,"30,150",Local Police
1425,WA,Bremerton Police Department,"1025 BURWELL ST  Bremerton, WA 98337",360-478-5224,65.0,"37,259",Local Police
1426,WA,Brewster Police Department,"P.O. Box 1074  Brewster, WA 98812",509-689-2331,6.0,"2,189",Local Police
1427,WA,Brier Police Department,"2901 228Th Street Sw  Brier, WA 98036",425-775-5452,7.0,"6,383",Local Police
1428,WA,Buckley Police Department,"133 South Cedar StreetPO BOX 640 Buckley, WA 98321",360-829-3157,9.0,"4,145",Local Police
1429,WA,Burlington Police Department,"311 Cedar Street, Suite B  Burlington, WA 98233",360-755-0921,24.0,"6,757",Local Police
1430,WA,Camas Police Department,"2100 Ne 3Rd Avenue  Camas, WA 98607",360-834-4151,25.0,"12,534",Local Police
1431,WA,Castle Rock Police Department,"141 A Street SwPO BOX 475 Castle Rock, WA 98611",360-274-4711,5.0,"2,130",Local Police
1433,WA,Centralia Police Department,"P.O. Box 609  Centralia, WA 98531",360-330-7680,31.0,"14,742",Local Police
1434,WA,Chehalis Police Department,"350 N Market Blvd  Chehalis, WA 98532",360-748-8605,18.0,"7,057",Local Police
1435,WA,Chehalis Tribal Police,"P.O. Box 536  Oakville, WA 98568",360-273-5911,8.0,691,Tribal
1436,WA,Chelan County Sheriff's Office,"P.O. Box 36401 Washington St Level 1 Wenatchee, WA 98807",509-664-5592,68.0,"66,616",Sheriff
1437,WA,Cheney Police Department,"215 G Street  Cheney, WA 99004",509-235-6235,14.0,"8,832",Local Police
1438,WA,Chewelah Police Department,"P.O. Box 258  Chewelah, WA 99109",509-935-6555,6.0,"2,186",Local Police
1439,WA,Clallam County Sheriff's Office,"223 E 4Th St Ste 12  Port Angeles, WA 98362",360-417-2462,36.0,"64,525",Sheriff
1440,WA,Clark County Sheriff's Office,"707 W 13Th StPO Box 410 Vancouver, WA 98666",360-397-2211,132.0,"345,238",Sheriff
1441,WA,Clarkston Police Department,"830 5Th Street  Clarkston, WA 99403",509-758-1680,13.0,"7,337",Local Police
1442,WA,Cle Elum Police Department,"700 East 1St Street, Suite B  Cle Elum, WA 98922",509-674-2991,8.0,"1,755",Local Police
1443,WA,Clyde Hill Police Department,"9605 Ne 24Th Street  Clyde Hill, WA 98004",425-454-7187,9.0,"2,890",Local Police
1444,WA,Colfax Police Department,"400 North Mill  Colfax, WA 99111",509-397-4616,6.0,"2,844",Local Police
1445,WA,College Place Police Department,"625 South College Avenue  College Place, WA 99324",509-525-7778,11.0,"7,818",Local Police
1446,WA,Columbia County Sheriff's Office,"341 E Main St  Dayton, WA 99328",509-382-1100,10.0,"4,064",Sheriff
1447,WA,Colville Police Department,"147 East AstorPO BOX 533 Colville, WA 99114",509-684-2525,11.0,"4,988",Local Police
1448,WA,Colville Tribal Police Department,"Buffalo Lake Road  Nespelem, WA 99155",509-634-2473,32.0,"7,587",Tribal
1449,WA,Connell Police Department,"P.O. Box 187104 E Adams St Connell, WA 99326",509-234-4141,6.0,"2,956",Local Police
1450,WA,Cosmopolis Police Department,"P.O. Box 478  Cosmopolis, WA 98537",360-532-9237,3.0,"1,595",Local Police
1451,WA,Coulee City Police Department,"P.O. Box 398  Coulee City, WA 99115",509-632-5331,1.0,600,Local Police
1452,WA,Coulee Dam Police Department,"300 Lincoln Avenue  Coulee Dam, WA 99116",509-633-1234,7.0,"1,044",Local Police
1454,WA,Cowlitz County Sheriff's Office,"312 Sw 1St Ave  Kelso, WA 98626",360-577-3092,46.0,"92,948",Sheriff
1455,WA,Des Moines Police Department,"21900 11Th Ave South  Des Moines, WA 98198",206-870-7602,44.0,"29,267",Local Police
1456,WA,Douglas County Sheriff's Office,"110 2Nd St Ne Ste 200  E Wenatchee, WA 98802",509-884-1535,29.0,"32,603",Sheriff
1457,WA,Dupont Police Department,"1780 Civic Dr.  Dupont, WA 98327",253-964-7060,9.0,"2,452",Local Police
1458,WA,Duvall-Carnation Police Department,"P.O. Box 1500  Duvall, WA 98019",425-788-1519,16.0,"4,616",Local Police
1459,WA,East Wenatchee Police Department,"271 9Th Street Ne  East Wenatchee, WA 98802",509-884-9511,21.0,"5,757",Local Police
1461,WA,Eatonville Police Department,"P.O. Box 309  Eatonville, WA 98328",360-832-6111,6.0,"2,012",Local Police
1463,WA,Edmonds Police Department,"250 5Th Ave North  Edmonds, WA 98020",425-771-0200,56.0,"39,515",Local Police
1464,WA,Ellensburg Police Department,"100 North Pearl  Ellensburg, WA 98926",509-962-7286,26.0,"15,414",Local Police
1465,WA,Elma Police Department,"124 N 3Rd StreetP.O. Box 3011 Elma, WA 98541",360-482-3131,7.0,"3,049",Local Police
1466,WA,Enumclaw Police Department,"1705 Wells Street  Enumclaw, WA 98022",360-825-3505,15.0,"11,116",Local Police
1467,WA,Ephrata Police Department,"121 Alder Street Sw  Ephrata, WA 98823",509-754-2491,15.0,"6,808",Local Police
1468,WA,Everett Police Department,"3002 Wetmore Avenue  Everett, WA 98201",425-257-8408,198.0,"91,488",Local Police
1470,WA,Everson Police Department,"P.O. Box 315  Everson, WA 98247",360-966-4212,6.0,"2,035",Local Police
1471,WA,Federal Way Police Department,"33325 8th Avenue S Federal Way, WA 98063",253-835-4600,136.0,"88,040",Local Police
1472,WA,Ferndale Police Department,"5640 3Rd AvenuePO BOX 1257 Ferndale, WA 98248",360-384-3390,18.0,"8,758",Local Police
1473,WA,Ferry County Sheriff's Office,"165 N Jefferson StPO Box 1099 Republic, WA 99166",509-775-3136,10.0,"7,260",Sheriff
1474,WA,Fife Police Department,"3737 Pacific Highway East  Fife, WA 98424",253-922-2488,31.0,"4,784",Local Police
1475,WA,Fircrest Police Department,"302 Regents Blvd  Fircrest, WA 98466",253-565-1198,9.0,"5,868",Local Police
1476,WA,Forks Police Department,"500 E Division Street  Forks, WA 98331",360-374-2223,9.0,"3,120",Local Police
1477,WA,Franklin County Sheriff's Office,"1016 North Fourth Ave  Pasco, WA 99301",509-545-3501,28.0,"49,347",Sheriff
1478,WA,Garfield County Sheriff's Office,"P.O. Box 338789 W Main Pomeroy, WA 99347",509-843-3494,8.0,"2,397",Sheriff
1480,WA,Gig Harbor Police Department,"3510 Grandview Street  Gig Harbor, WA 98355",253-851-2236,17.0,"6,465",Local Police
1481,WA,Goldendale Police Department,"1103 S Columbus AvenuePO BOX 1176 Goldendale, WA 98620",509-773-3780,9.0,"3,760",Local Police
1482,WA,Grand Coulee Police Department,"P.O. Box 180  Grand Coulee, WA 99133",509-633-1411,7.0,897,Local Police
1483,WA,Grandview Police Department,"207 West 2Nd Street  Grandview, WA 98930",509-882-2000,18.0,"8,377",Local Police
1484,WA,Granger Police Department,"102 Main StreetPO BOX 960 Granger, WA 98932",509-854-2656,6.0,"2,530",Local Police
1485,WA,Granite Falls Police Department,"P.O. Box 64PO BOX 64 Granite Falls, WA 98252",360-691-6611,7.0,"2,347",Local Police
1486,WA,Grant County Sheriff's Office,"35 C St NwPO Box 37 Ephrata, WA 98823",509-754-2011,86.0,"74,698",Sheriff
1488,WA,Hoquiam Police Department,"215 10Th Street  Hoquiam, WA 98550",360-532-0892,19.0,"9,097",Local Police
1489,WA,Island County Sheriff's Office,"P.O. Box 5000101 NE 6th St Coupeville, WA 98239",360-678-4422,60.0,"71,558",Sheriff
1490,WA,Issaquah Police Department,"P.O. Box 1307  Issaquah, WA 98027",425-837-3200,33.0,"11,212",Local Police
1492,WA,Jefferson County Sheriff's Office,"79 Elkins Rd  Port Hadlock, WA 98339",360-385-3831,25.0,"25,953",Sheriff
1493,WA,Kalama Police Department,"385 MainPO BOX 297 Kalama, WA 98625",360-673-2165,5.0,"1,783",Local Police
1494,WA,Kalispel Tribal Police,"P.O. Box 39  Usk, WA 99180",509-445-1147,8.0,206,Tribal
1495,WA,Kelso Police Department,"201 South Pacific Ave  Kelso, WA 98626",360-423-1270,28.0,"11,895",Local Police
1496,WA,Kennewick Police Department,"211 W. 6th Avenue  Kennewick, WA 99336",509-585-4221,90.0,"54,693",Local Police
1497,WA,Kent Police Department,"220 4Th Avenue South  Kent, WA 98032",253-856-5871,138.0,"79,524",Local Police
1498,WA,Kettle Falls Police Department,"P.O. Box 457  Kettle Falls, WA 99141",509-738-6700,4.0,"1,527",Local Police
1500,WA,King County Sheriff's Office,"516 3Rd AveW-116 King Co Courthouse Seattle, WA 98104",206-205-7625,721.0,"1,737,034",Sheriff
1501,WA,Kirkland Police Department,"123 5Th Avenue  Kirkland, WA 98033",425-828-1191,67.0,"45,054",Local Police
1502,WA,Kitsap County Sheriff's Office,"614 Division St #Ms-37  Port Orchard, WA 98366",360-337-7101,121.0,"231,969",Sheriff
1503,WA,Kittitas County Sheriff's Office,"205 W 5Th AveSte 1 Ellensburg, WA 98926",509-962-7525,40.0,"33,362",Sheriff
1505,WA,Klickitat County Sheriff's Office,"205 S Columbus AveMS-CH 7, Room 108 Goldendale, WA 98620",509-773-4455,16.0,"19,161",Sheriff
1506,WA,La Center Police Department,"105 West 5Th Street  La Center, WA 98629",360-263-2745,9.0,"1,654",Local Police
1508,WA,Lacey Police Department,"420 College Street Se  Lacey, WA 98509",360-459-4333,53.0,"31,226",Local Police
1509,WA,Lake Forest Park Police Department,"17425 Ballinger Way Ne  Lake Forest Park, WA 98155",206-364-8216,20.0,"13,142",Local Police
1510,WA,Lake Stevens Police Department,"P.O. Box 790  Lake Stevens, WA 98258",425-334-9537,20.0,"25,000",Local Police
1512,WA,Langley Police Department,"P.O. Box 366  Langley, WA 98260",360-221-4433,4.0,959,Local Police
1513,WA,Lewis County Sheriff's Office,"345 W. Main St.  Chehalis, WA 98532",360-748-9286,45.0,"68,600",Sheriff
1515,WA,Lincoln County Sheriff's Office,"P.O. Box 367404 Sinclair St Davenport, WA 99122",509-725-3501,16.0,"10,184",Sheriff
1516,WA,Long Beach Police Department,"P.O. Box 795  Long Beach, WA 98631",360-642-2911,6.0,"1,283",Local Police
1517,WA,Longview Police Department,"1351 Hudson Street  Longview, WA 98632",360-577-3157,54.0,"34,660",Local Police
1519,WA,Lummi Tribal Police,"2616 Kwina Road  Bellingham, WA 98226",360-384-0945,18.0,"4,193",Tribal
1520,WA,Lynden Police Department,"203 19Th Street  Lynden, WA 98264",360-354-2828,14.0,"9,020",Local Police
1521,WA,Lynnwood Police Department,"P.O. Box 5008  Lynnwood, WA 98046",425-744-6900,78.0,"33,847",Local Police
1522,WA,Mabton Police Department,"P.O. Box 67  Mabton, WA 98935",509-894-4096,4.0,"1,891",Local Police
1524,WA,Marysville Police Department,"1635 Grove Street  Marysville, WA 98270",360-651-5050,51.0,"25,315",Local Police
1525,WA,Mason County Sheriff's Office,"P.O. Box 1037  Shelton, WA 98584",360-427-9670,52.0,"49,405",Sheriff
1526,WA,Mattawa Police Department,"P.O. Box 965  Mattawa, WA 99349",509-932-4112,3.0,"2,609",Local Police
1527,WA,McCleary Police Department,"100 South 3Rd Street  Mccleary, WA 98557",360-495-3107,4.0,"1,454",Local Police
1528,WA,Medical Lake Police Department,"P.O. Box 369  Medical Lake, WA 99022",509-565-5003,4.0,"3,758",Local Police
1529,WA,Medina Police Department,"501 Evergreen Point RoadPO BOX 144 Medina, WA 98039",425-454-1332,9.0,"3,011",Local Police
